SampleID,Sp1*,Sp2*,Sp3*,Sp4*,Sp5*,Sp6*,Sp7*,Sp8*,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34*,Sp35*,Sp36*,Sp37*,Sp38*,Cal1,Cal2,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude,Exclude
2140921,2.03939,1.99591,1.96001,1.92971,1.90111,1.87425,1.84924,1.82896,1.81805,1.81974,1.83699,1.8701,1.9056,1.92034,1.90846,1.89126,1.89719,1.94807,2.04768,2.16445,2.24283,2.26882,2.26488,2.24362,2.21044,2.17347,2.13753,2.10234,2.06693,2.0347,2.0079,1.98833,1.97772,1.97831,1.9997,2.06505,2.19117,2.35168,14.75,7.57,N,N,N,N,N,N,N,N
2141084,2.17505,2.12847,2.08925,2.05514,2.02296,1.993,1.96486,1.94143,1.92781,1.92795,1.94512,1.97908,2.0166,2.0336,2.02147,2.0024,2.00874,2.06528,2.17606,2.30481,2.38873,2.41245,2.40211,2.37345,2.33476,2.294,2.25524,2.21813,2.18094,2.1465,2.1174,2.09524,2.08215,2.08088,2.10173,2.16827,2.29986,2.47056,9.97,7.71,N,N,N,N,N,N,N,N
213006,1.88664,1.84511,1.81011,1.7781,1.75095,1.72982,1.70753,1.68234,1.66648,1.66573,1.68123,1.71222,1.74652,1.7627,1.75324,1.73958,1.74993,1.80415,1.89829,2.00432,2.07646,2.10051,2.09413,2.07083,2.03674,1.99889,1.96235,1.92757,1.89171,1.85994,1.83519,1.81868,1.8104,1.81237,1.83318,1.8981,2.02716,2.2021,10.84,10.74,N,N,N,N,N,N,N,N
2121020,1.93713,1.89585,1.86216,1.83425,1.8082,1.78424,1.76198,1.74431,1.73566,1.74014,1.76109,1.79825,1.83867,1.85926,1.85294,1.84188,1.85646,1.9176,2.02397,2.14283,2.22285,2.24949,2.24327,2.21887,2.18394,2.14578,2.10901,2.0739,2.03938,2.00855,1.98397,1.96695,1.95873,1.96133,1.98409,2.05064,2.18164,2.35148,10.4,9.3,N,N,N,N,N,N,N,N
2120412,1.96555,1.92342,1.8904,1.86452,1.84185,1.82226,1.80391,1.78946,1.78535,1.79727,1.82906,1.87949,1.93402,1.96764,1.97212,1.97336,2.00752,2.09543,2.22556,2.3567,2.4402,2.46447,2.45199,2.42039,2.37888,2.33475,2.29295,2.25376,2.21657,2.18468,2.1608,2.14638,2.14195,2.14932,2.17837,2.25498,2.40276,2.58958,8.1,12.3,N,N,N,N,N,N,N,N
GC2601067,2.56403,2.50388,2.45215,2.40325,2.35906,2.32179,2.28342,2.24359,2.21329,2.19749,2.19733,2.21174,2.22993,2.23301,2.21517,2.19442,2.19551,2.23642,2.31463,2.40501,2.46709,2.48692,2.47982,2.45711,2.42352,2.38581,2.34888,2.31309,2.27668,2.24326,2.21725,2.19923,2.18953,2.18985,2.20822,2.26932,2.39434,2.56401,13.6,10.6,N,N,N,N,N,N,N,N
2120301,1.82983,1.79149,1.76067,1.73625,1.71385,1.69335,1.67423,1.65905,1.65311,1.66019,1.6836,1.72314,1.76575,1.7887,1.78595,1.77969,1.79929,1.86452,1.97106,2.08635,2.16324,2.18885,2.18306,2.15992,2.12594,2.08829,2.052,2.0172,1.9834,1.95376,1.93071,1.91576,1.90996,1.91488,1.93957,2.0076,2.13962,2.31011,12.3,10.2,N,N,N,N,N,N,N,N
2120302,1.86535,1.82515,1.79296,1.76699,1.74317,1.72135,1.7011,1.68503,1.67833,1.68528,1.70896,1.7493,1.79293,1.8166,1.81378,1.80711,1.82712,1.89421,2.00426,2.12322,2.20198,2.22751,2.22053,2.19559,2.16018,2.12141,2.08437,2.04922,2.01483,1.98447,1.96083,1.94527,1.93899,1.94365,1.96857,2.03797,2.17238,2.34626,11.2,10.2,N,N,N,N,N,N,N,N
2140018,1.99899,1.95452,1.91828,1.89048,1.86366,1.83811,1.81366,1.79084,1.78028,1.77929,1.79544,1.82745,1.86206,1.87896,1.87157,1.85723,1.86897,1.92775,2.0274,2.13649,2.20964,2.23411,2.22647,2.20406,2.16818,2.13169,2.09712,2.06301,2.02904,1.99863,1.97463,1.95844,1.95096,1.95448,1.97816,2.04496,2.17451,2.34192,12.37,9.91,Y,Y,Y,Y,Y,Y,Y,Y
2120355,2.01615,1.96949,1.93072,1.89824,1.8682,1.84045,1.81459,1.79363,1.78218,1.78414,1.80263,1.83768,1.87604,1.89371,1.88553,1.87329,1.88645,1.94622,2.05088,2.16788,2.24575,2.27137,2.26564,2.24236,2.20808,2.16995,2.13299,2.09713,2.06162,2.03015,2.00514,1.98781,1.97952,1.98286,2.00687,2.07581,2.20962,2.38046,11.8,11.9,Y,Y,Y,Y,Y,Y,Y,Y
